"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","87089900","Other","REAR UPPER ARM",2393,"Other products","Other products ","Other Imports"
"IMPORT","20081900","Other, including mixtures","NOBBY CASHEW NUTS",2389,"Other products","Other products ","Other Imports"
"IMPORT","85151100","Soldering irons and guns","SOLDERING MACHINE",2389,"Other products","Other products ","Other Imports"
"IMPORT","94018000","Other seats","DECK CHAIR",2389,"Other products","Other products ","Other Imports"
"IMPORT","95079000","Other","SQUID BAIT",2389,"Other products","Other products ","Other Imports"
"IMPORT","39269000","Others","NESOI",2383,"Other products","Other products ","Other Imports"
"IMPORT","34013000","Organic surface-active","FACIAL CLEANSER",2379,"Other products","Other products ","Other Imports"
"IMPORT","95030000","Tricycles, scooters, pedal cars toys, etc; dolls' carriages; toys; recre...puzzels ...","TOYS SET",2375,"Other products","Other products ","Other Imports"
"IMPORT","33012900","Other","ESSENTIAL OILS",2356,"Other products","Other products ","Other Imports"
"IMPORT","39199000","Other","CLING FILM",2352,"Other products","Other products ","Other Imports"
"IMPORT","96180000","Tailors' dummies, etc; automata and other animated displays .. for shop window dressing","ACTION FIGURE",2352,"Other products","Other products ","Other Imports"
"IMPORT","33062000","Yarn used to clean between the teeth (dental floss),in individual retail packages","GLIDE",2346,"Other products","Other products ","Other Imports"
"IMPORT","16052900","Other","DREID SHRIMP",2341,"Other products","Other products ","Other Imports"
"IMPORT","20059100","Bamboo shoots","BAMBOO SHOOTY",2341,"Other products","Other products ","Other Imports"
"IMPORT","39069000","Other","SHORTING BOX",2338,"Other products","Other products ","Other Imports"
"IMPORT","39269000","Others","JUNCTION BOX",2338,"Other products","Other products ","Other Imports"
"IMPORT","42029900","Other","BIBLE COVER BAG",2332,"Other products","Other products ","Other Imports"
"IMPORT","94041000","Mattress supports","PILLOWS",2331,"Other products","Other products ","Other Imports"
"IMPORT","83063000","Photograph, picture or similar frames; mirrors","PHOTO FRAMES",2330,"Other products","Other products ","Other Imports"
"IMPORT","12122100","Fit for human consumption","SEAWEED ROLLS",2329,"Other products","Other products ","Other Imports"
"IMPORT","33072000","Personal deodorants and antiperspirants","BRUT 130G",2329,"Other products","Other products ","Other Imports"
"IMPORT","09041200","Crushed or ground","POWDER",2326,"Other products","Other products ","Other Imports"
"IMPORT","90178000","Other instruments","SQUARE",2322,"Other products","Other products ","Other Imports"
"IMPORT","07069000","Other","Radish",2318,"Other products","Other products ","Other Imports"
"IMPORT","39203000","Of polymers of styrene","plastic wrap",2317,"Other products","Other products ","Other Imports"
"IMPORT","84671100","Pneumatic tools, rotary type, for working in the hand","ELEC SCISSORES",2308,"Other products","Other products ","Other Imports"
"IMPORT","82051000","Drilling, threading or tapping hand tools","BITS",2298,"Other products","Other products ","Other Imports"
"IMPORT","40082900","Other","SEALING STRIP",2297,"Other products","Other products ","Other Imports"
"IMPORT","82119400","Blades","ART BLADE",2297,"Other products","Other products ","Other Imports"
"IMPORT","42029200","With outer surface of sheeting plastics or of textile materials","CAMERA STORAGE CASE",2296,"Other products","Other products ","Other Imports"
"IMPORT","85119000","Parts","CALTRIC STARTER RELAY SOLENOID",2292,"Other products","Other products ","Other Imports"
"IMPORT","87083000","Brakes and servo-brakes and parts thereof","BRAKE SHOE",2292,"Other products","Other products ","Other Imports"
"IMPORT","94018000","Other seats","RECLINER CHAIR",2292,"Other products","Other products ","Other Imports"
"IMPORT","33074900","Other","CAR AIR FRESHNER",2287,"Other products","Other products ","Other Imports"
"IMPORT","42022200","With outer surface of sheeting of plastic or of textile materials","HANDBAGS, SHOULDER BAG",2287,"Other products","Other products ","Other Imports"
"IMPORT","39269000","Others","MIXED OFFICE WALL HANGER",2274,"Other products","Other products ","Other Imports"
"IMPORT","94049000","Other","1 WHITE  BUTTERFLY SHAPED MEDIUM",2274,"Other products","Other products ","Other Imports"
"IMPORT","83063000","Photograph, picture or similar frames; mirrors","METAL PHOTO FRAMES",2271,"Other products","Other products ","Other Imports"
"IMPORT","34029000","Other","BL RENU",2259,"Other products","Other products ","Other Imports"
"IMPORT","85167900","Other","FRYER ACCESS",2258,"Other products","Other products ","Other Imports"
"IMPORT","85354000","Lightning arresters, voltage limiters and surge suppressors","THUNDER WAVE PROTECTION",2255,"Other products","Other products ","Other Imports"
"IMPORT","83014000","Other locks","DOOR LOCKS",2252,"Other products","Other products ","Other Imports"
"IMPORT","35069900","Prepared glues and other prepared adhesives, nes","EYELASH ADHESIVE",2248,"Other products","Other products ","Other Imports"
"IMPORT","65069100","Of rubber or of plastics","METEOR GILDING DOUBLE-LAYER",2248,"Other products","Other products ","Other Imports"
"IMPORT","20081900","Other, including mixtures","CASHEWS",2235,"Other products","Other products ","Other Imports"
"IMPORT","42029200","With outer surface of sheeting plastics or of textile materials","TOTE BAG",2231,"Other products","Other products ","Other Imports"
"IMPORT","82055900","Other","EXTENDED WRENCH REPAIR TOOL SET",2228,"Other products","Other products ","Other Imports"
"IMPORT","39241000","Tableware and kitchenware","HOUSEHOLD PLSTYCS GOODS",2214,"Other products","Other products ","Other Imports"
"IMPORT","70133700","Other","OTHER GLASS WARES",2214,"Other products","Other products ","Other Imports"
"IMPORT","94049000","Other","OTHER QUILR N CUSHIN",2214,"Other products","Other products ","Other Imports"
"IMPORT","87089300","Clutches and parts thereof","CYLINDER ASSY-CLUTCH",2213,"Other products","Other products ","Other Imports"
"IMPORT","84254200","Hydraulic jacks and vehicle hoists","LIFTER L STAND",2210,"Other products","Other products ","Other Imports"
"IMPORT","82032000","Pliers (including cutting pliers), pincers,tweezers and similar tools","GLASS CUTTER / PLIERS",2205,"Other products","Other products ","Other Imports"
"IMPORT","84836000","Clutches and shaft couplings  (including universal joints)","CLUTCH DISC",2196,"Other products","Other products ","Other Imports"
"IMPORT","85158000","Machines and apparatus for welding/spraying of metals, nes","HOT MELT MACHINE",2193,"Other products","Other products ","Other Imports"
"IMPORT","33073000","Perfumed bath salts and other bath preparations","SHOWER PREPARATIONS",2183,"Other products","Other products ","Other Imports"
"IMPORT","95030000","Tricycles, scooters, pedal cars toys, etc; dolls' carriages; toys; recre...puzzels ...","PUZZLE",2181,"Other products","Other products ","Other Imports"
"IMPORT","46021900","Other","HAND WOVEN MATERIAL",2172,"Other products","Other products ","Other Imports"
"IMPORT","48026900","Other","A4 PAPERS",2172,"Other products","Other products ","Other Imports"
