HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
85269200,Transmission apparatus,Transmission apparatus,Other products,Other products ,Other Imports,Other products ,NMB,0
85271200,Transmission apparatus incorporating reception apparatus,Transmission apparatus incorporating reception apparatus,Other products,Other products ,Other Imports,Other products ,NMB,0
85271300,"Television cameras, digital cameras and video camera recorders","Television cameras, digital cameras and video camera recorders",Other products,Other products ,Other Imports,Other products ,NMB,0
85271900,Radar apparatus,Radar apparatus,Other products,Other products ,Other Imports,Other products ,NMB,15
85272100,Radio navigational aid apparatus,Radio navigational aid apparatus,Other products,Other products ,Other Imports,Other products ,NMB,15
85272900,Radio remote control apparatus,Radio remote control apparatus,Other products,Other products ,Other Imports,Other products ,NMB,15
85279100,Pocket-size radio cassette-players,Pocket-size radio cassette-players,Other products,Other products ,Other Imports,Other products ,NMB,15
85279200,Other apparatus combined with sound recording or reproducing apparatus,Other apparatus combined with sound recording or reproducing apparatus,Other products,Other products ,Other Imports,Other products ,NMB,15
85279900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85284200,Combined with sound recording or reproducing apparatus,Combined with sound recording or reproducing apparatus,Other products,Other products ,Other Imports,Other products ,NMB,15
85284900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85285200,Combined with sound recording or reproducing apparatus,Combined with sound recording or reproducing apparatus,Other products,Other products ,Other Imports,Other products ,NMB,0
85285900,Not combined with sound recording reproducing apparatus but combined with a clock,Not combined with sound recording reproducing apparatus but combined with a clock,Other products,Other products ,Other Imports,Other products ,NMB,15
85286200,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85286900,Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,Cpble of drctly cnctng to & dsgned fr use wth an autmtc dta prcsng mchne of hding 84.71,Other products,Other products ,Other Imports,Other products ,NMB,0
85287100,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85287200,Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,Cpble of drctly cnctng to & dsgned for use wth an autmtc dta prcsng mchne of hdng 84.71,Other products,Other products ,Other Imports,Other products ,NMB,0
85287300,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85291000,Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,Cpble of drctly cnctng to & dsgned for use wth an atmtc dta prcsng mchne of hedng 84.71,Other products,Other products ,Other Imports,Other products ,NMB,0
85299000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85301000,Not designed to incorporate a video display or screen,Not designed to incorporate a video display or screen,Other products,Other products ,Other Imports,Other products ,NMB,15
85308000,"Other, colour","Other, colour",Other products,Other products ,Other Imports,Other products ,NMB,15
85309000,"Other, monochrome","Other, monochrome",Other products,Other products ,Other Imports,Other products ,NMB,15
85311000,Aerials and aerial reflectors of all kinds; parts suitable for use therewith,Aerials and aerial reflectors of all kinds; parts suitable for use therewith,Other products,Other products ,Other Imports,Other products ,KGM,15
85312000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85318000,Equipment for railways or tramways,Equipment for railways or tramways,Other products,Other products ,Other Imports,Other products ,NMB,0
85319000,Other equipment,Other equipment,Other products,Other products ,Other Imports,Other products ,NMB,0
85321000,Parts,Parts,Other products,Other products ,Other Imports,Other products ,NMB,0
85322100,Burglar or fire alarms and similar apparatus,Burglar or fire alarms and similar apparatus,Other products,Other products ,Other Imports,Other products ,NMB,0
85322200,Indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes,Indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes,Other products,Other products ,Other Imports,Other products ,NMB,0
85322300,Other apparatus,Other apparatus,Other products,Other products ,Other Imports,Other products ,NMB,0
85322400,Parts,Parts,Other products,Other products ,Other Imports,Other products ,KGM,0
85322500,"Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power...,","Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power...,",Other products,Other products ,Other Imports,Other products ,KGM,15
85322900,Tantalum,Tantalum,Other products,Other products ,Other Imports,Other products ,KGM,15
85323000,Aluminium electrolytic,Aluminium electrolytic,Other products,Other products ,Other Imports,Other products ,KGM,15
85329000,"Ceramic dielectric, single layer","Ceramic dielectric, single layer",Other products,Other products ,Other Imports,Other products ,KGM,15
85331000,"Ceramic dielectric, multilayer layer","Ceramic dielectric, multilayer layer",Other products,Other products ,Other Imports,Other products ,KGM,15
85332100,Dielectric of paper or plastics,Dielectric of paper or plastics,Other products,Other products ,Other Imports,Other products ,KGM,15
85332900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
85333100,Variable or adjsutable (pre-set) capacitors,Variable or adjsutable (pre-set) capacitors,Other products,Other products ,Other Imports,Other products ,KGM,15
85333900,Parts,Parts,Other products,Other products ,Other Imports,Other products ,KGM,15
85334000,"Fixed carbon resistors, composition or film types","Fixed carbon resistors, composition or film types",Other products,Other products ,Other Imports,Other products ,KGM,15
85339000,For a power handling capacity not exceeding 20 Ww,For a power handling capacity not exceeding 20 Ww,Other products,Other products ,Other Imports,Other products ,KGM,15
85340000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
