Year,Month,Food.sub.category,total
2015,September,Crisps and snacks,12527559
2015,September,Electrolyte drinks,11335811
2015,September,Noodles,18615967
2015,September,Processed Meats,5215620
2015,September,Soft Drinks,9794408
2015,September,Sugar,10141946
2016,April,Bakery products,80656046
2016,April,Canned Meats,3362423
2016,April,Confectionary,40628862
2016,April,Cordial,13420721
2016,April,Crisps and snacks,17902661
2016,April,Electrolyte drinks,28807227
2016,April,Noodles,42321220
2016,April,Processed Meats,1436337
2016,April,Soft Drinks,26777360
2016,April,Sugar,5234158
2016,August,Bakery products,87425998
2016,August,Canned Meats,28109067
2016,August,Confectionary,32834786
2016,August,Cordial,11466830
2016,August,Crisps and snacks,15607294
2016,August,Electrolyte drinks,13774579
2016,August,Noodles,32651431
2016,August,Processed Meats,27815040
2016,August,Soft Drinks,12611504
2016,August,Sugar,27759545
2016,December,Bakery products,53209236
2016,December,Canned Meats,16142503
2016,December,Confectionary,36406290
2016,December,Cordial,17902046
2016,December,Crisps and snacks,16683308
2016,December,Electrolyte drinks,20802259
2016,December,Noodles,27902705
2016,December,Processed Meats,6004527
2016,December,Soft Drinks,19499081
2016,December,Sugar,24738149
2016,February,Bakery products,43429930
2016,February,Canned Meats,2723873
2016,February,Confectionary,25693850
2016,February,Cordial,16402228
2016,February,Crisps and snacks,5544211
2016,February,Electrolyte drinks,13906057
2016,February,Noodles,25030333
2016,February,Processed Meats,2465655
2016,February,Soft Drinks,9931476
2016,February,Sugar,5344479
2016,January,Bakery products,62539996
2016,January,Canned Meats,27845207
2016,January,Confectionary,31091270
2016,January,Cordial,13841863
2016,January,Crisps and snacks,9941690
2016,January,Electrolyte drinks,16391581
2016,January,Noodles,18156051
2016,January,Processed Meats,27211278
2016,January,Soft Drinks,14561857
2016,January,Sugar,5629921
2016,July,Bakery products,61717626
2016,July,Canned Meats,6658633
2016,July,Confectionary,37981623
2016,July,Cordial,15588863
2016,July,Crisps and snacks,19620572
2016,July,Electrolyte drinks,18589903
2016,July,Noodles,38853290
2016,July,Processed Meats,6363703
2016,July,Soft Drinks,17163765
2016,July,Sugar,17747496
2016,June,Bakery products,73044471
2016,June,Canned Meats,27269269
2016,June,Confectionary,20200035
2016,June,Cordial,21167089
2016,June,Crisps and snacks,6753613
2016,June,Electrolyte drinks,9098541
2016,June,Noodles,19522719
2016,June,Processed Meats,16252841
2016,June,Soft Drinks,5755727
2016,June,Sugar,21415881
2016,March,Bakery products,57094718
2016,March,Canned Meats,34782776
2016,March,Confectionary,8369582
2016,March,Cordial,10682715
2016,March,Crisps and snacks,3167561
2016,March,Electrolyte drinks,11184455
2016,March,Noodles,8397088
2016,March,Processed Meats,34590806
2016,March,Soft Drinks,9952419
2016,March,Sugar,2975832
2016,May,Bakery products,42560614
2016,May,Canned Meats,23266635
2016,May,Confectionary,14681624
2016,May,Cordial,13248137
2016,May,Crisps and snacks,8555757
2016,May,Electrolyte drinks,13709783
2016,May,Noodles,20040993
2016,May,Processed Meats,14657362
2016,May,Soft Drinks,12762984
2016,May,Sugar,3557415
2016,November,Bakery products,141693072
2016,November,Canned Meats,37892186
2016,November,Confectionary,51493643
2016,November,Cordial,19062952
2016,November,Crisps and snacks,23988775
2016,November,Electrolyte drinks,67028083
2016,November,Noodles,52575485
2016,November,Processed Meats,37583995
2016,November,Soft Drinks,63591933
2016,November,Sugar,22977248
2016,October,Bakery products,70380623
2016,October,Canned Meats,8179337
2016,October,Confectionary,29923189
2016,October,Cordial,20901429
2016,October,Crisps and snacks,13730009
2016,October,Electrolyte drinks,7197533
2016,October,Noodles,27966690
2016,October,Processed Meats,7310910
2016,October,Soft Drinks,5540111
2016,October,Sugar,10104000
2016,September,Bakery products,53648696
2016,September,Canned Meats,14074569
2016,September,Confectionary,26345304
2016,September,Cordial,16567367
2016,September,Crisps and snacks,9033165
2016,September,Electrolyte drinks,16352185
2016,September,Noodles,21488962
2016,September,Processed Meats,14032021
2016,September,Soft Drinks,14464960
2016,September,Sugar,35291396
2017,April,Bakery products,44834940
2017,April,Canned Meats,24950566
2017,April,Confectionary,34215658
2017,April,Cordial,11685338
2017,April,Crisps and snacks,9476631
2017,April,Electrolyte drinks,14952737
2017,April,Noodles,18241015
2017,April,Processed Meats,17255914
2017,April,Soft Drinks,14279488
2017,April,Sugar,4392543
2017,August,Bakery products,117565229.8
2017,August,Canned Meats,22819301.12
2017,August,Confectionary,34609315
2017,August,Cordial,28697801.02
2017,August,Crisps and snacks,14678170
2017,August,Electrolyte drinks,15374219
2017,August,Noodles,44254256.58
2017,August,Processed Meats,22794613.12
2017,August,Soft Drinks,13653231
2017,August,Sugar,21880776
2017,December,Bakery products,90618979
2017,December,Canned Meats,32817578
2017,December,Confectionary,30760061
2017,December,Cordial,21004170
2017,December,Crisps and snacks,9027614
2017,December,Electrolyte drinks,31694759
2017,December,Noodles,25527927
2017,December,Processed Meats,31970129
2017,December,Soft Drinks,27871255
2017,December,Sugar,10052784
2017,February,Bakery products,44547017
2017,February,Canned Meats,12838723
2017,February,Confectionary,29785906
2017,February,Cordial,16345285
2017,February,Crisps and snacks,10847196
2017,February,Electrolyte drinks,27304933
2017,February,Noodles,19798972
2017,February,Processed Meats,2152142
2017,February,Soft Drinks,22372797
2017,February,Sugar,20196577
2017,January,Bakery products,36831323
2017,January,Canned Meats,13177588
2017,January,Confectionary,28470538
2017,January,Cordial,8732980
2017,January,Crisps and snacks,2531178
2017,January,Electrolyte drinks,37994442
2017,January,Noodles,6416820
2017,January,Processed Meats,11731905
2017,January,Soft Drinks,33836740
2017,January,Sugar,7661715
2017,July,Bakery products,61613554.41
2017,July,Canned Meats,30093635.56
2017,July,Confectionary,36661992.02
2017,July,Cordial,9636193.59
2017,July,Crisps and snacks,13145985
2017,July,Electrolyte drinks,6418094
2017,July,Noodles,30122853
2017,July,Processed Meats,29876316.56
2017,July,Soft Drinks,5941199
2017,July,Sugar,8308431.14
2017,June,Bakery products,86253575
2017,June,Canned Meats,16533329
2017,June,Confectionary,27929006
2017,June,Cordial,18976660
2017,June,Crisps and snacks,10529516
2017,June,Electrolyte drinks,27680409
2017,June,Noodles,22895775
2017,June,Processed Meats,16108400
2017,June,Soft Drinks,25279463
2017,June,Sugar,29182110
2017,March,Bakery products,73229205
2017,March,Canned Meats,27008164
2017,March,Confectionary,32748875
2017,March,Cordial,27462390
2017,March,Crisps and snacks,11690683
2017,March,Electrolyte drinks,84129474
2017,March,Noodles,41608463
2017,March,Processed Meats,26876611
2017,March,Soft Drinks,71970224
2017,March,Sugar,11285272
2017,May,Bakery products,64641398
2017,May,Canned Meats,27893228
2017,May,Confectionary,27070328
2017,May,Cordial,17239128
2017,May,Crisps and snacks,10550789
2017,May,Electrolyte drinks,27821894
2017,May,Noodles,33592030
2017,May,Processed Meats,26415333
2017,May,Soft Drinks,24878115
2017,May,Sugar,19222049
2017,November,Bakery products,92778030
2017,November,Canned Meats,50606952
2017,November,Confectionary,52422386
2017,November,Cordial,18688939
2017,November,Crisps and snacks,29973235
2017,November,Electrolyte drinks,15404379
2017,November,Noodles,43641381
2017,November,Processed Meats,38502282
2017,November,Soft Drinks,15177086
